source,block_index,task,trial_type,audio_file,prompt,orig_item_num,item,time_limit,answer,notes,response_alternatives
2d-rabbit,1,Mental Rotation,2D,mental-rotation-prompt1,Choose the matching picture.,9,Rn-080,5000,Rn-000-silh,,"Rp-000-silh,Rn-000-silh"
2d-rabbit,1,Mental Rotation,2D,mental-rotation-prompt1,Choose the matching picture.,10,Rp-120,5000,Rp-000-silh,,"Rp-000-silh,Rn-000-silh"
2d-rabbit,1,Mental Rotation,2D,mental-rotation-prompt1,Choose the matching picture.,12,Rp-160,5000,Rp-000-silh,,"Rp-000-silh,Rn-000-silh"
2d-rabbit,1,Mental Rotation,2D,mental-rotation-prompt1,Choose the matching picture.,11,Rn-120,5000,Rn-000-silh,,"Rp-000-silh,Rn-000-silh"
2d-rabbit,1,Mental Rotation,2D,mental-rotation-prompt1,Choose the matching picture.,13,Rn-160,5000,Rn-000-silh,,"Rp-000-silh,Rn-000-silh"
2d-rabbit,1,Mental Rotation,2D,mental-rotation-prompt1,Choose the matching picture.,15,Rn-200,5000,Rn-000-silh,,"Rp-000-silh,Rn-000-silh"
2d-rabbit,1,Mental Rotation,2D,mental-rotation-prompt1,Choose the matching picture.,14,Rp-200,5000,Rp-000-silh,,"Rp-000-silh,Rn-000-silh"
2d-rabbit,1,Mental Rotation,2D,mental-rotation-prompt1,Choose the matching picture.,16,Rp-240,5000,Rp-000-silh,,"Rp-000-silh,Rn-000-silh"
2d-rabbit,1,Mental Rotation,2D,mental-rotation-prompt1,Choose the matching picture.,15,Rn-200,5000,Rn-000-silh,,"Rp-000-silh,Rn-000-silh"
2d-rabbit,1,Mental Rotation,2D,mental-rotation-prompt1,Choose the matching picture.,17,Rn-240,5000,Rn-000-silh,,"Rp-000-silh,Rn-000-silh"
2d-rabbit,1,Mental Rotation,2D,mental-rotation-prompt1,Choose the matching picture.,18,Rp-280,5000,Rp-000-silh,,"Rp-000-silh,Rn-000-silh"
2d-rabbit,1,Mental Rotation,2D,mental-rotation-prompt1,Choose the matching picture.,20,Rp-320,5000,Rp-000-silh,,"Rp-000-silh,Rn-000-silh"
2d-rabbit,1,Mental Rotation,2D,mental-rotation-prompt1,Choose the matching picture.,19,Rn-280,5000,Rn-000-silh,,"Rp-000-silh,Rn-000-silh"
2d-rabbit,1,Mental Rotation,2D,mental-rotation-prompt1,Choose the matching picture.,21,Rn-320,5000,Rn-000-silh,,"Rp-000-silh,Rn-000-silh"
2d-duck,1,Mental Rotation,2D,mental-rotation-prompt1,Choose the matching picture.,34,Dp-200,5000,Dp-000-silh,,"Dp-000-silh,Dn-000-silh"
2d-duck,1,Mental Rotation,2D,mental-rotation-prompt1,Choose the matching picture.,26,Dn-040,5000,Dn-000-silh,,"Dp-000-silh,Dn-000-silh"
2d-duck,1,Mental Rotation,2D,mental-rotation-prompt1,Choose the matching picture.,30,Dp-120,5000,Dp-000-silh,,"Dp-000-silh,Dn-000-silh"
2d-duck,1,Mental Rotation,2D,mental-rotation-prompt1,Choose the matching picture.,29,Dn-080,5000,Dn-000-silh,,"Dp-000-silh,Dn-000-silh"
2d-duck,1,Mental Rotation,2D,mental-rotation-prompt1,Choose the matching picture.,33,Dn-160,5000,Dn-000-silh,,"Dp-000-silh,Dn-000-silh"
2d-duck,1,Mental Rotation,2D,mental-rotation-prompt1,Choose the matching picture.,27,Dp-040,5000,Dp-000-silh,,"Dp-000-silh,Dn-000-silh"
2d-duck,1,Mental Rotation,2D,mental-rotation-prompt1,Choose the matching picture.,35,Dn-200,5000,Dn-000-silh,,"Dp-000-silh,Dn-000-silh"
2d-duck,1,Mental Rotation,2D,mental-rotation-prompt1,Choose the matching picture.,28,Dp-080,5000,Dp-000-silh,,"Dp-000-silh,Dn-000-silh"
2d-duck,1,Mental Rotation,2D,mental-rotation-prompt1,Choose the matching picture.,30,Dp-120,5000,Dp-000-silh,,"Dp-000-silh,Dn-000-silh"
2d-duck,1,Mental Rotation,2D,mental-rotation-prompt1,Choose the matching picture.,32,Dp-160,5000,Dp-000-silh,,"Dp-000-silh,Dn-000-silh"
2d-duck,1,Mental Rotation,2D,mental-rotation-prompt1,Choose the matching picture.,31,Dn-120,5000,Dn-000-silh,,"Dp-000-silh,Dn-000-silh"
2d-duck,1,Mental Rotation,2D,mental-rotation-prompt1,Choose the matching picture.,34,Dp-200,5000,Dp-000-silh,,"Dp-000-silh,Dn-000-silh"
2d-duck,1,Mental Rotation,2D,mental-rotation-prompt1,Choose the matching picture.,29,Dn-080,5000,Dn-000-silh,,"Dp-000-silh,Dn-000-silh"
2d-duck,1,Mental Rotation,2D,mental-rotation-prompt1,Choose the matching picture.,31,Dn-120,5000,Dn-000-silh,,"Dp-000-silh,Dn-000-silh"
2d-duck,1,Mental Rotation,2D,mental-rotation-prompt1,Choose the matching picture.,32,Dp-160,5000,Dp-000-silh,,"Dp-000-silh,Dn-000-silh"
2d-duck,1,Mental Rotation,2D,mental-rotation-prompt1,Choose the matching picture.,33,Dn-160,5000,Dn-000-silh,,"Dp-000-silh,Dn-000-silh"
2d-duck,1,Mental Rotation,2D,mental-rotation-prompt1,Choose the matching picture.,35,Dn-200,5000,Dn-000-silh,,"Dp-000-silh,Dn-000-silh"
2d-duck,1,Mental Rotation,2D,mental-rotation-prompt1,Choose the matching picture.,36,Dp-240,5000,Dp-000-silh,,"Dp-000-silh,Dn-000-silh"
2d-duck,1,Mental Rotation,2D,mental-rotation-prompt1,Choose the matching picture.,37,Dn-240,5000,Dn-000-silh,,"Dp-000-silh,Dn-000-silh"
2d-duck,1,Mental Rotation,2D,mental-rotation-prompt1,Choose the matching picture.,38,Dp-280,5000,Dp-000-silh,,"Dp-000-silh,Dn-000-silh"
2d-duck,1,Mental Rotation,2D,mental-rotation-prompt1,Choose the matching picture.,39,Dn-280,5000,Dn-000-silh,,"Dp-000-silh,Dn-000-silh"
2d-duck,1,Mental Rotation,2D,mental-rotation-prompt1,Choose the matching picture.,40,Dp-320,5000,Dp-000-silh,,"Dp-000-silh,Dn-000-silh"
2d-duck,1,Mental Rotation,2D,mental-rotation-prompt1,Choose the matching picture.,41,Dn-320,5000,Dn-000-silh,,"Dp-000-silh,Dn-000-silh"
3D,3,Mental Rotation,3D,mental-rotation-prompt1,Choose the matching picture.,78,an1-240,5000,an1-000,,"ap1-000,an1-000"
3D,3,Mental Rotation,3D,mental-rotation-prompt1,Choose the matching picture.,79,ap1-280,5000,ap1-000,,"ap1-000,an1-000"
3D,3,Mental Rotation,3D,mental-rotation-prompt1,Choose the matching picture.,80,ap1-320,5000,ap1-000,,"ap1-000,an1-000"
3D,3,Mental Rotation,3D,mental-rotation-prompt1,Choose the matching picture.,81,ap2-240,5000,ap2-000,,"ap2-000,an2-000"
3D,3,Mental Rotation,3D,mental-rotation-prompt1,Choose the matching picture.,82,an2-280,5000,an2-000,,"ap2-000,an2-000"
3D,3,Mental Rotation,3D,mental-rotation-prompt1,Choose the matching picture.,83,an2-320,5000,an2-000,,"ap2-000,an2-000"
3D,3,Mental Rotation,3D,mental-rotation-prompt1,Choose the matching picture.,84,ap6-280,5000,ap6-000,,"an6-000,ap6-000"
3D,3,Mental Rotation,3D,mental-rotation-prompt1,Choose the matching picture.,85,an6-320,5000,an6-000,,"an6-000,ap6-000"
3D,3,Mental Rotation,3D,mental-rotation-prompt1,Choose the matching picture.,86,ap10-240,5000,ap10-000,,"an10-000,ap10-000"
3D,3,Mental Rotation,3D,mental-rotation-prompt1,Choose the matching picture.,87,ap10-320,5000,ap10-000,,"an10-000,ap10-000"
3D,3,Mental Rotation,3D,mental-rotation-prompt1,Choose the matching picture.,88,an11-240,5000,an11-000,,"an11-000,ap11-000"
3D,3,Mental Rotation,3D,mental-rotation-prompt1,Choose the matching picture.,89,an11-320,5000,an11-000,,"an11-000,ap11-000"
3D,3,Mental Rotation,3D,mental-rotation-prompt1,Choose the matching picture.,90,an13-280,5000,an11-000,,"an11-000,ap11-000"
3D,3,Mental Rotation,3D,mental-rotation-prompt1,Choose the matching picture.,91,ap13-240,5000,ap13-000,,"an13-000,ap13-000"
3D,3,Mental Rotation,3D,mental-rotation-prompt1,Choose the matching picture.,92,an17-320,5000,an17-000,,"an17-000,ap17-000"
3D,3,Mental Rotation,3D,mental-rotation-prompt1,Choose the matching picture.,93,ap17-240,5000,ap17-000,,"an17-000,ap17-000"
3D,3,Mental Rotation,3D,mental-rotation-prompt1,Choose the matching picture.,94,ap17-280,5000,ap17-000,,"an17-000,ap17-000"
3D,3,Mental Rotation,3D,mental-rotation-prompt1,Choose the matching picture.,95,bn1-280,5000,bn1-000,,"bn1-000,bp1-000"
3D,3,Mental Rotation,3D,mental-rotation-prompt1,Choose the matching picture.,96,bp1-320,5000,bp1-000,,"bn1-000,bp1-000"
3D,3,Mental Rotation,3D,mental-rotation-prompt1,Choose the matching picture.,97,bn5-240,5000,bn5-000,,"bn5-000,bp5-000"
3D,3,Mental Rotation,3D,mental-rotation-prompt1,Choose the matching picture.,98,bn5-320,5000,bn5-000,,"bn5-000,bp5-000"
3D,3,Mental Rotation,3D,mental-rotation-prompt1,Choose the matching picture.,99,bn6-280,5000,bn6-000,,"bn6-000,bp6-000"
3D,3,Mental Rotation,3D,mental-rotation-prompt1,Choose the matching picture.,100,bp6-240,5000,bp6-000,,"bn6-000,bp6-000"
3D,3,Mental Rotation,3D,mental-rotation-prompt1,Choose the matching picture.,101,bp8-280,5000,bp8-000,,"bp8-000,bn8-000"
3D,3,Mental Rotation,3D,mental-rotation-prompt1,Choose the matching picture.,102,bn8-240,5000,bn8-000,,"bp8-000,bn8-000"
3D,3,Mental Rotation,3D,mental-rotation-prompt1,Choose the matching picture.,103,bn12-240,5000,bn12-000,,"bn12-000,bp12-000"
3D,3,Mental Rotation,3D,mental-rotation-prompt1,Choose the matching picture.,104,bn12-280,5000,bn12-000,,"bn12-000,bp12-000"
3D,3,Mental Rotation,3D,mental-rotation-prompt1,Choose the matching picture.,105,bp12-320,5000,bp12-000,,"bn12-000,bp12-000"
3D,3,Mental Rotation,3D,mental-rotation-prompt1,Choose the matching picture.,106,bp14-240,5000,bp14-000,,"bp14-000,bn14-000"
3D,3,Mental Rotation,3D,mental-rotation-prompt1,Choose the matching picture.,107,bn14-280,5000,bn14-000,,"bp14-000,bn14-000"
3D,3,Mental Rotation,3D,mental-rotation-prompt1,Choose the matching picture.,108,bn14-320,5000,bn14-000,,"bp14-000,bn14-000"
3D,3,Mental Rotation,3D,mental-rotation-prompt1,Choose the matching picture.,109,bn15-240,5000,bn15-000,,"bn15-000,bp15-000"
3D,3,Mental Rotation,3D,mental-rotation-prompt1,Choose the matching picture.,110,bp15-280,5000,bp15-000,,"bn15-000,bp15-000"
3D,3,Mental Rotation,3D,mental-rotation-prompt1,Choose the matching picture.,111,bp15-320,5000,bp15-000,,"bn15-000,bp15-000"
