source,block_index,task,trial_type,audio_file,prompt,orig_item_num,item,answer,assessment_stage,response_alternatives,chance_level,item_id,difficulty
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,49,tf1_49_M_ss3,tf1_49_T1_ss3_md,test_response,"tf1_49_T4_ss3_md,tf1_49_T2_ss3_md,tf1_49_T3_ss3_md",0.25,tf1_49_M_ss3,0.399
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,15,tf1_15_M_ss2,tf1_15_T1_ss2_md,test_response,"tf1_15_T3_ss2_md,tf1_15_T4_ss2_md,tf1_15_T2_ss2_md",0.25,tf1_15_M_ss2,1.732
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,16,tf1_16_M_ss3,tf1_16_T1_ss3_md,test_response,"tf1_16_T3_ss3_md,tf1_16_T2_ss3_md,tf1_16_T4_ss3_md",0.25,tf1_16_M_ss3,1.957
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,51,tf1_51_M_ss2,tf1_51_T1_ss2_md,test_response,"tf1_51_T2_ss2_md,tf1_51_T4_ss2_md,tf1_51_T3_ss2_md",0.25,tf1_51_M_ss2,3.636
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,17,tf1_17_M_ss1,tf1_17_T1_ss1_md,test_response,"tf1_17_T3_ss1_md,tf1_17_T4_ss1_md,tf1_17_T2_ss1_md",0.25,tf1_17_M_ss1,1.22
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,18,tf1_18_M_ss2,tf1_18_T1_ss2_md,test_response,"tf1_18_T3_ss2_md,tf1_18_T2_ss2_md,tf1_18_T4_ss2_md",0.25,tf1_18_M_ss2,2.513
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,69,tf1_69_M_ss2,tf1_69_T1_ss2_md,test_response,"tf1_69_T3_ss2_md,tf1_69_T2_ss2_md,tf1_69_T4_ss2_md",0.25,tf1_69_M_ss2,1.759
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,19,tf1_19_M_ss3,tf1_19_T1_ss3_md,test_response,"tf1_19_T3_ss3_md,tf1_19_T2_ss3_md,tf1_19_T4_ss3_md",0.25,tf1_19_M_ss3,2.867
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,20,tf1_20_M_ss1,tf1_20_T1_ss1_md,test_response,"tf1_20_T4_ss1_md,tf1_20_T2_ss1_md,tf1_20_T3_ss1_md",0.25,tf1_20_M_ss1,1.889
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,77,tf1_77_M_ss1,tf1_77_T1_ss1_md,test_response,"tf1_77_T3_ss1_md,tf1_77_T2_ss1_md,tf1_77_T4_ss1_md",0.25,tf1_77_M_ss1,2.754
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,21,tf1_21_M_ss2,tf1_21_T1_ss2_md,test_response,"tf1_21_T2_ss2_md,tf1_21_T4_ss2_md,tf1_21_T3_ss2_md",0.25,tf1_21_M_ss2,1.02
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,22,tf1_22_M_ss3,tf1_22_T1_ss3_md,test_response,"tf1_22_T4_ss3_md,tf1_22_T2_ss3_md,tf1_22_T3_ss3_md",0.25,tf1_22_M_ss3,1.473
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,71,tf1_71_M_ss1,tf1_71_T1_ss1_md,test_response,"tf1_71_T3_ss1_md,tf1_71_T2_ss1_md,tf1_71_T4_ss1_md",0.25,tf1_71_M_ss1,0.785
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,23,tf1_23_M_ss1,tf1_23_T1_ss1_md,test_response,"tf1_23_T2_ss1_md,tf1_23_T4_ss1_md,tf1_23_T3_ss1_md",0.25,tf1_23_M_ss1,0.785
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,24,tf1_24_M_ss2,tf1_24_T1_ss2_md,test_response,"tf1_24_T4_ss2_md,tf1_24_T2_ss2_md,tf1_24_T3_ss2_md",0.25,tf1_24_M_ss2,1.739
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,65,tf1_65_M_ss1,tf1_65_T1_ss1_md,test_response,"tf1_65_T3_ss1_md,tf1_65_T2_ss1_md,tf1_65_T4_ss1_md",0.25,tf1_65_M_ss1,-0.367
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,25,tf1_25_M_ss3,tf1_25_T1_ss3_md,test_response,"tf1_25_T4_ss3_md,tf1_25_T2_ss3_md,tf1_25_T3_ss3_md",0.25,tf1_25_M_ss3,-0.303
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,26,tf1_26_M_ss1,tf1_26_T1_ss1_md,test_response,"tf1_26_T4_ss1_md,tf1_26_T2_ss1_md,tf1_26_T3_ss1_md",0.25,tf1_26_M_ss1,-1.328
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,67,tf1_67_M_ss3,tf1_67_T1_ss3_md,test_response,"tf1_67_T3_ss3_md,tf1_67_T2_ss3_md,tf1_67_T4_ss3_md",0.25,tf1_67_M_ss3,-0.034
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,27,tf1_27_M_ss2,tf1_27_T1_ss2_md,test_response,"tf1_27_T2_ss2_md,tf1_27_T4_ss2_md,tf1_27_T3_ss2_md",0.25,tf1_27_M_ss2,0.55
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,28,tf1_28_M_ss3,tf1_28_T1_ss3_md,test_response,"tf1_28_T2_ss3_md,tf1_28_T4_ss3_md,tf1_28_T3_ss3_md",0.25,tf1_28_M_ss3,0.52
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,58,tf1_58_M_ss3,tf1_58_T1_ss3_md,test_response,"tf1_58_T2_ss3_md,tf1_58_T4_ss3_md,tf1_58_T3_ss3_md",0.25,tf1_58_M_ss3,1.573
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,29,tf1_29_M_ss1,tf1_29_T1_ss1_md,test_response,"tf1_29_T4_ss1_md,tf1_29_T2_ss1_md,tf1_29_T3_ss1_md",0.25,tf1_29_M_ss1,-0.303
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,30,tf1_30_M_ss2,tf1_30_T1_ss2_md,test_response,"tf1_30_T4_ss2_md,tf1_30_T2_ss2_md,tf1_30_T3_ss2_md",0.25,tf1_30_M_ss2,0.55
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,73,tf1_73_M_ss3,tf1_73_T1_ss3_md,test_response,"tf1_73_T3_ss3_md,tf1_73_T2_ss3_md,tf1_73_T4_ss3_md",0.25,tf1_73_M_ss3,1.383
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,31,tf1_31_M_ss3,tf1_31_T1_ss3_md,test_response,"tf1_31_T4_ss3_md,tf1_31_T2_ss3_md,tf1_31_T3_ss3_md",0.25,tf1_31_M_ss3,0.244
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,32,tf1_32_M_ss1,tf1_32_T1_ss1_md,test_response,"tf1_32_T4_ss1_md,tf1_32_T2_ss1_md,tf1_32_T3_ss1_md",0.25,tf1_32_M_ss1,0.244
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,74,tf1_74_M_ss1,tf1_74_T1_ss1_md,test_response,"tf1_74_T3_ss1_md,tf1_74_T4_ss1_md,tf1_74_T2_ss1_md",0.25,tf1_74_M_ss1,2.237
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,35,tf1_35_M_ss1,tf1_35_T1_ss1_md,test_response,"tf1_35_T4_ss1_md,tf1_35_T2_ss1_md,tf1_35_T3_ss1_md",0.25,tf1_35_M_ss1,0.244
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,75,tf1_75_M_ss2,tf1_75_T1_ss2_md,test_response,"tf1_75_T3_ss2_md,tf1_75_T2_ss2_md,tf1_75_T4_ss2_md",0.25,tf1_75_M_ss2,1.383
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,39,tf1_39_M_ss2,tf1_39_T1_ss2_md,test_response,"tf1_39_T4_ss2_md,tf1_39_T2_ss2_md,tf1_39_T3_ss2_md",0.25,tf1_39_M_ss2,0.244
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,76,tf1_76_M_ss3,tf1_76_T1_ss3_md,test_response,"tf1_76_T3_ss3_md,tf1_76_T4_ss3_md,tf1_76_T2_ss3_md",0.25,tf1_76_M_ss3,1.383
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,33,tf1_33_M_ss2,tf1_33_T1_ss2_md,test_response,"tf1_33_T2_ss2_md,tf1_33_T4_ss2_md,tf1_33_T3_ss2_md",0.25,tf1_33_M_ss2,-0.146
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,34,tf1_34_M_ss3,tf1_34_T1_ss3_md,test_response,"tf1_34_T2_ss3_md,tf1_34_T4_ss3_md,tf1_34_T3_ss3_md",0.25,tf1_34_M_ss3,1.043
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,72,tf1_72_M_ss2,tf1_72_T1_ss2_md,test_response,"tf1_72_T3_ss2_md,tf1_72_T2_ss2_md,tf1_72_T4_ss2_md",0.25,tf1_72_M_ss2,0.566
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,36,tf1_36_M_ss2,tf1_36_T1_ss2_md,test_response,"tf1_36_T4_ss2_md,tf1_36_T2_ss2_md,tf1_36_T3_ss2_md",0.25,tf1_36_M_ss2,-0.394
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,66,tf1_66_M_ss2,tf1_66_T1_ss2_md,test_response,"tf1_66_T3_ss2_md,tf1_66_T2_ss2_md,tf1_66_T4_ss2_md",0.25,tf1_66_M_ss2,-0.394
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,37,tf1_37_M_ss3,tf1_37_T1_ss3_md,test_response,"tf1_37_T4_ss3_md,tf1_37_T2_ss3_md,tf1_37_T3_ss3_md",0.25,tf1_37_M_ss3,0.558
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,38,tf1_38_M_ss1,tf1_38_T1_ss1_md,test_response,"tf1_38_T2_ss1_md,tf1_38_T4_ss1_md,tf1_38_T3_ss1_md",0.25,tf1_38_M_ss1,1.043
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,40,tf1_40_M_ss3,tf1_40_T1_ss3_md,test_response,"tf1_40_T4_ss3_md,tf1_40_T2_ss3_md,tf1_40_T3_ss3_md",0.25,tf1_40_M_ss3,1.108
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,68,tf1_68_M_ss1,tf1_68_T1_ss1_md,test_response,"tf1_68_T3_ss1_md,tf1_68_T4_ss1_md,tf1_68_T2_ss1_md",0.25,tf1_68_M_ss1,-0.394
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,41,tf1_41_M_ss1,tf1_41_T1_ss1_md,test_response,"tf1_41_T2_ss1_md,tf1_41_T4_ss1_md,tf1_41_T3_ss1_md",0.25,tf1_41_M_ss1,1.043
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,42,tf1_42_M_ss2,tf1_42_T1_ss2_md,test_response,"tf1_42_T2_ss2_md,tf1_42_T4_ss2_md,tf1_42_T3_ss2_md",0.25,tf1_42_M_ss2,0.558
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,43,tf1_43_M_ss3,tf1_43_T1_ss3_md,test_response,"tf1_43_T2_ss3_md,tf1_43_T4_ss3_md,tf1_43_T3_ss3_md",0.25,tf1_43_M_ss3,0.052
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,79,tf1_79_M_ss3,tf1_79_T1_ss3_md,test_response,"tf1_79_T3_ss3_md,tf1_79_T4_ss3_md,tf1_79_T2_ss3_md",0.25,tf1_79_M_ss3,1.427
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,44,tf1_44_M_ss1,tf1_44_T1_ss1_md,test_response,"tf1_44_T4_ss1_md,tf1_44_T2_ss1_md,tf1_44_T3_ss1_md",0.25,tf1_44_M_ss1,2.971
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,45,tf1_45_M_ss2,tf1_45_T1_ss2_md,test_response,"tf1_45_T2_ss2_md,tf1_45_T4_ss2_md,tf1_45_T3_ss2_md",0.25,tf1_45_M_ss2,1.043
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,46,tf1_46_M_ss3,tf1_46_T1_ss3_md,test_response,"tf1_46_T4_ss3_md,tf1_46_T2_ss3_md,tf1_46_T3_ss3_md",0.25,tf1_46_M_ss3,1.348
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,47,tf1_47_M_ss1,tf1_47_T1_ss1_md,test_response,"tf1_47_T2_ss1_md,tf1_47_T4_ss1_md,tf1_47_T3_ss1_md",0.25,tf1_47_M_ss1,0.959
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,78,tf1_78_M_ss2,tf1_78_T1_ss2_md,test_response,"tf1_78_T3_ss2_md,tf1_78_T4_ss2_md,tf1_78_T2_ss2_md",0.25,tf1_78_M_ss2,-1.87
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,48,tf1_48_M_ss2,tf1_48_T1_ss2_md,test_response,"tf1_48_T4_ss2_md,tf1_48_T2_ss2_md,tf1_48_T3_ss2_md",0.25,tf1_48_M_ss2,0.713
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,50,tf1_50_M_ss1,tf1_50_T1_ss1_md,test_response,"tf1_50_T4_ss1_md,tf1_50_T2_ss1_md,tf1_50_T3_ss1_md",0.25,tf1_50_M_ss1,0.713
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,80,tf1_80_M_ss1,tf1_80_T1_ss1_md,test_response,"tf1_80_T3_ss1_md,tf1_80_T2_ss1_md,tf1_80_T4_ss1_md",0.25,tf1_80_M_ss1,1.334
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,52,tf1_52_M_ss3,tf1_52_T1_ss3_md,test_response,"tf1_52_T4_ss3_md,tf1_52_T2_ss3_md,tf1_52_T3_ss3_md",0.25,tf1_52_M_ss3,NA
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,53,tf1_53_M_ss1,tf1_53_T1_ss1_md,test_response,"tf1_53_T2_ss1_md,tf1_53_T4_ss1_md,tf1_53_T3_ss1_md",0.25,tf1_53_M_ss1,1.692
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,54,tf1_54_M_ss2,tf1_54_T1_ss2_md,test_response,"tf1_54_T4_ss2_md,tf1_54_T2_ss2_md,tf1_54_T3_ss2_md",0.25,tf1_54_M_ss2,1.692
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,55,tf1_55_M_ss3,tf1_55_T1_ss3_md,test_response,"tf1_55_T4_ss3_md,tf1_55_T2_ss3_md,tf1_55_T3_ss3_md",0.25,tf1_55_M_ss3,NA
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,56,tf1_56_M_ss1,tf1_56_T1_ss1_md,test_response,"tf1_56_T4_ss1_md,tf1_56_T2_ss1_md,tf1_56_T3_ss1_md",0.25,tf1_56_M_ss1,NA
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,57,tf1_57_M_ss2,tf1_57_T1_ss2_md,test_response,"tf1_57_T2_ss2_md,tf1_57_T4_ss2_md,tf1_57_T3_ss2_md",0.25,tf1_57_M_ss2,0.723
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,59,tf1_59_M_ss1,tf1_59_T1_ss1_md,test_response,"tf1_59_T4_ss1_md,tf1_59_T2_ss1_md,tf1_59_T3_ss1_md",0.25,tf1_59_M_ss1,-0.737
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,60,tf1_60_M_ss2,tf1_60_T1_ss2_md,test_response,"tf1_60_T3_ss2_md,tf1_60_T2_ss2_md,tf1_60_T4_ss2_md",0.25,tf1_60_M_ss2,0.723
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,61,tf1_61_M_ss3,tf1_61_T1_ss3_md,test_response,"tf1_61_T3_ss3_md,tf1_61_T2_ss3_md,tf1_61_T4_ss3_md",0.25,tf1_61_M_ss3,-0.737
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,63,tf1_63_M_ss2,tf1_63_T1_ss2_md,test_response,"tf1_63_T3_ss2_md,tf1_63_T4_ss2_md,tf1_63_T2_ss2_md",0.25,tf1_63_M_ss2,0.723
MarsIB-CB2-tf1,1,Matrix Reasoning,Matrix Reasoning,matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,64,tf1_64_M_ss3,tf1_64_T1_ss3_md,test_response,"tf1_64_T3_ss3_md,tf1_64_T4_ss3_md,tf1_64_T2_ss3_md",0.25,tf1_64_M_ss3,0.723
