source,task,audio_file,prompt,orig_item_num,trial_type,item,answer,response_alternatives,assessment_stage,chance_level,item_id,d
Bishop1983,TROG,trog-item-37,Touch the picture that shows...,37,singular/plural noun inflection,the cats look at the ball,37-cats-look-ball,"37-cat-look-ball,37-kids-play-ball,37-cats-look-butterfly",test_response,0.25,trog-item-37,-2.212058
Bishop1983,TROG,trog-item-38,Touch the picture that shows...,38,singular/plural noun inflection,the boy stands on the chairs,38-guy-on-chairs,"38-guy-on-chair,38-dog-on-chairs,38-guy-lay-on-chairs",test_response,0.25,trog-item-38,-1.372561
Bishop1983,TROG,trog-item-39,Touch the picture that shows...,39,singular/plural noun inflection,the boys pick the apples,39-boys-pick-apples,"39-boy-picks-apples,39-they-pick-flowers,39-they-eat-apples",test_response,0.25,trog-item-39,-1.61847
Bishop1983,TROG,trog-item-40,Touch the picture that shows...,40,singular/plural noun inflection,the girl drops the cups,40-girl-drops-cups,"40-girl-hold-cup,40-girl-drops-cup,40-girl-bounces-balls",test_response,0.25,trog-item-40,-1.991912
Bishop1983,TROG,trog-item-41,Touch the picture that shows...,41,comparative/absolute,the fork is longer than the pencil,41-fork-short-pencil,"41-fork-long-pencil,41-flower-short-pencil,41-fork-spoon",test_response,0.25,trog-item-41,-2.212058076
Bishop1983,TROG,trog-item-42,Touch the picture that shows...,42,comparative/absolute,the box is bigger than the cup,42-box-bigger-cup,"42-box-bigger-ball,42-apple-cup-same,42-box-cup-same",test_response,0.25,trog-item-42,-1.37256142
Bishop1983,TROG,trog-item-43,Touch the picture that shows...,43,comparative/absolute,the shoe is bigger than the bird,43-shoe-bigger-bird,"43-shoe-bigger-cup,43-bird-box-same,43-bird-shoe-same",test_response,0.25,trog-item-43,-1.61846961
Bishop1983,TROG,trog-item-44,Touch the picture that shows...,44,comparative/absolute,the horse is taller than the wall,44-horse-small-wall,"44-horse-large-wall,44-tree-wall,44-feed-horse-apple",test_response,0.25,trog-item-44,-1.991911874
Bishop1983,TROG,trog-item-45,Touch the picture that shows...,45,reversible passive,the girl is chased by the horse,45-horse-chase-girl,"45-girl-ride-horse,45-girl-chase-horse,45-horse-chase-dog",test_response,0.25,trog-item-45,-2.369474041
Bishop1983,TROG,trog-item-46,Touch the picture that shows...,46,reversible passive,the elephant is pushed by the boy,46-boy-push-elephant,"46-man-feed-elephant,46-boy-push-truck,46-elephant-push-boy",test_response,0.25,trog-item-46,-3.270284928
Bishop1983,TROG,trog-item-47,Touch the picture that shows...,47,reversible passive,the horse is chased by the man,47-boy-chases-horse,"47-dog-chases-horse,47-horse-chases-boy,47-girl-rides-horse",test_response,0.25,trog-item-47,-2.629850918
Bishop1983,TROG,trog-item-48,Touch the picture that shows...,48,reversible passive,the cow is pushed by the man,48-man-pushes-cow,"48-cow-pushes-man,48-sheep-pushes-cow,48-man-pushes-pram",test_response,0.25,trog-item-48,-3.069308322
Bishop1983,TROG,trog-item-49,Touch the picture that shows...,49,in and on,the cup is in the box,49-cup-in-box,"49-cup-on-box,49-box-in-cup,49-cup-beside-box",test_response,0.25,trog-item-49,-2.643544633
Bishop1983,TROG,trog-item-50,Touch the picture that shows...,50,in and on,the pencil is on the box,50-pencil-on-box,"50-pencil-under-box,50-pencil-in-box,50-pencil-beside-box",test_response,0.25,trog-item-50,-1.1903348
Bishop1983,TROG,trog-item-51,Touch the picture that shows...,51,in and on,the circle is in the star,51-circle-in-star,"51-star-in-circle,51-circle-beside-star,51-star-below-circle",test_response,0.25,trog-item-51,-0.4524742355
Bishop1983,TROG,trog-item-52,Touch the picture that shows...,52,in and on,the fork is on the shoe,52-fork-on-boot,"52-fork-beside-boot,52-fork-in-boot,52-fork-under-boot",test_response,0.25,trog-item-52,-0.7370768046
Bishop1983,TROG,trog-item-53,Touch the picture that shows...,53,postmodified subject,the boy chasing the horse is tall,53-tall-boy-chases-horse,"53-horse-chases-tall-boy,53-horse-chases-boy,53-boy-chases-horse",test_response,0.25,trog-item-53,-2.846163891
Bishop1983,TROG,trog-item-54,Touch the picture that shows...,54,postmodified subject,the pencil on the shoe is blue,54-blue-pencil-on-boot,"54-yellow-pencil-on-boot,54-boot-on-blue-pencil,54-boot-on-yellow-pencil",test_response,0.25,trog-item-54,-1.270790413
Bishop1983,TROG,trog-item-55,Touch the picture that shows...,55,postmodified subject,the cow chasing the cat is brown,55-brown-cow-chase-white-cat,"55-brown-cat-chase-white-cow,55-white-cat-chase-brown-cow,55-white-cow-chase-brown-cat",test_response,0.25,trog-item-55,-1.506043694
Bishop1983,TROG,trog-item-56,Touch the picture that shows...,56,postmodified subject,the circle in the star is yellow,56-yellow-circle-in-star,"56-green-star-below-circle,56-yellow-star-in-circle,56-star-beside-circle",test_response,0.25,trog-item-56,-1.264434375
Bishop1983,TROG,trog-item-57,Touch the picture that shows...,57,X but not Y,the box but not the chair is red,57-yellow-chair-red-box,"57-red-chair-red-box,57-red-chair-yellow-box,57-yellow-chair-yellow-box",test_response,0.25,trog-item-57,-1.765366959
Bishop1983,TROG,trog-item-58,Touch the picture that shows...,58,X but not Y,the cat is big but not black,58-big-white-cat,"58-big-black-cat,58-little-white-cat,58-little-black-cat",test_response,0.25,trog-item-58,-1.940382651
Bishop1983,TROG,trog-item-59,Touch the picture that shows...,59,X but not Y,the horse but not the boy is standing,59-boy-jumps-horse-stands,"59-horse-and-boy-jump,59-horse-and-boy-stand,59-horse-jumps-boy-stands",test_response,0.25,trog-item-59,-0.2276623642
Bishop1983,TROG,trog-item-60,Touch the picture that shows...,60,X but not Y,the boy is sitting but not eating,60-sitting-boy,"60-sitting-person-banana,60-standing-woman,60-standing-man-banana",test_response,0.25,trog-item-60,-0.3128566147
Bishop1983,TROG,trog-item-61,Touch the picture that shows...,61,above and below,the pencil is above the flower,61-pencil-above-flower,"61-pencil-beside-flower,61-flower-above-pencil,61-flower-behind-pencil",test_response,0.25,trog-item-61,-1.385051633
Bishop1983,TROG,trog-item-62,Touch the picture that shows...,62,above and below,the comb is below the spoon,62-green-comb-below-spoon,"62-yellow-comb-beside-spoon,62-yellow-comb-above-spoon,62-red-comb-beside-spoon",test_response,0.25,trog-item-62,-1.99807994
Bishop1983,TROG,trog-item-63,Touch the picture that shows...,63,above and below,the star is above the circle,63-star-above-circle,"63-purple-star-beside-circle,63-small-star-beside-circle,63-star-below-circle",test_response,0.25,trog-item-63,0.03904125612
Bishop1983,TROG,trog-item-64,Touch the picture that shows...,64,above and below,the square is below the star,64-square-below-star,"64-square-above-star,64-square-beside-star,64-square-beside-star2",test_response,0.25,trog-item-64,-3.230933421
Bishop1983,TROG,trog-item-65,Touch the picture that shows...,65,not only X but also Y,not only the bird but also the flower is blue,65-bird-blue-flower-blue,"65-bird-blue-flower-white,65-bird-white-flower-blue,65-bird-white-flower-white",test_response,0.25,trog-item-65,-1.238294058
Bishop1983,TROG,trog-item-66,Touch the picture that shows...,66,not only X but also Y,the box is not only big but also blue,66-big-blue-box,"66-big-pink-box,66-small-blue-box,66-small-pink-box",test_response,0.25,trog-item-66,-0.7429656188
Bishop1983,TROG,trog-item-67,Touch the picture that shows...,67,not only X but also Y,not only the girl but also the cat is sitting,67-girl-cat-sitting,"67-girl-cat-stand,67-girl-point-cat,67-girl-sit-cat-stand",test_response,0.25,trog-item-67,-2.196203105
Bishop1983,TROG,trog-item-68,Touch the picture that shows...,68,not only X but also Y,the girl has not only food but also a drink,68-banana-and-juice,"68-drink-juice,68-eat-banana,68-hands-in-pockets",test_response,0.25,trog-item-68,-0.9895605059
Bishop1983,TROG,trog-item-69,Touch the picture that shows...,69,relative clause,the pencil is on the book that is yellow,69-pencil-on-yellow-book,"69-pencil-on-red-book,69-red-book-on-pencil,69-yellow-book-on-pencil",test_response,0.25,trog-item-69,-2.726740827
Bishop1983,TROG,trog-item-70,Touch the picture that shows...,70,relative clause,the girl chases the dog that is big,70-girl-chases-big-dog,"70-dog-chases-girl,70-girl-chases-small-dog,70-girl-chases-small-dog2",test_response,0.25,trog-item-70,-2.41453005
Bishop1983,TROG,trog-item-71,Touch the picture that shows...,71,relative clause,the square is in the star that is blue,71-yellow-square-in-star,"71-star-in-blue-square,71-blue-star-in-square,71-blue-square-in-star",test_response,0.25,trog-item-71,-2.103510367
Bishop1983,TROG,trog-item-72,Touch the picture that shows...,72,relative clause,the dog chases the horse that is brown,72-white-dog-chase-brown-horse,"72-white-horse-chase-brown-dog,72-brown-horse-chase-white-dog,72-brown-dog-chase-white-horse",test_response,0.25,trog-item-72,-2.750604667
Bishop1983,TROG,trog-item-73,Touch the picture that shows...,73,neither X nor Y,neither the dog nor the ball is brown,73-white-dog-white-ball,"73-brown-ball-brown-dog,73-brown-dog-white-ball,73-white-dog-brown-ball",test_response,0.25,trog-item-73,-1.286684903
Bishop1983,TROG,trog-item-74,Touch the picture that shows...,74,neither X nor Y,the pencil is neither long nor red,74-short-green-pencil,"74-long-red-pencil,74-long-green-pencil,74-short-red-pencil",test_response,0.25,trog-item-74,-2.973695072
Bishop1983,TROG,trog-item-75,Touch the picture that shows...,75,neither X nor Y,neither the boy nor the horse is running,75-boy-before-horse,"75-girl-chases-horse,75-boy-chases-horse,75-boy-behind-horse",test_response,0.25,trog-item-75,0.0259093624
Bishop1983,TROG,trog-item-76,Touch the picture that shows...,76,neither X nor Y,the boy has neither hat nor shoes,76-no-hat-no-shoes,"76-shoes-no-hat,76-hat-and-shoes,76-hat-no-shoes",test_response,0.25,trog-item-76,-1.442102294
Bishop1983,TROG,trog-item-77,Touch the picture that shows...,77,embedded sentence,the book the pencil is on is red,77-pencil-on-red-book,"77-red-book-on-pencil,77-yellow-book-on-pencil,77-pencil-on-yellow-book",test_response,0.25,trog-item-77,-1.527960091
Bishop1983,TROG,trog-item-78,Touch the picture that shows...,78,embedded sentence,the cat the cow chases is black,78-white-cow-chase-black-cat,"78-white-cat-chase-black-cow,78-black-cat-chase-white-cow,78-black-cow-chase-white-cat",test_response,0.25,trog-item-78,-1.059206631
Bishop1983,TROG,trog-item-79,Touch the picture that shows...,79,embedded sentence,the circle the star is in is red,79-star-in-red-circle,"79-red-circle-in-star,79-star-below-red-circle,79-star-beside-circle",test_response,0.25,trog-item-79,-1.698029161
Bishop1983,TROG,trog-item-80,Touch the picture that shows...,80,embedded sentence,the boy the dog chases is big,80-dog-chases-tall-boy,"80-small-boy-chases-dog,80-tall-boy-chases-dog,80-dog-chases-small-boy",test_response,0.25,trog-item-80,-1.325586941
Yeatman,TROG,trog-item-81,Touch the picture that shows...,81,additive,the horse drank water by the barn and the sheep ate grass by the fence,81-horse-water-barn-sheep-grass,"81-horse-sheep-water-barn,81-horse-sheep-grass,81-sheep-water",test_response,0.25,trog-item-81,-0.9200342883
Yeatman,TROG,trog-item-82,Touch the picture that shows...,82,temporal,the student opened the notebook and drew a tree,82-notebook-tree,"82-paper-tree,82-notebook-writing,82-desk",test_response,0.25,trog-item-82,2.109663439
Yeatman,TROG,trog-item-83,Touch the picture that shows...,83,conditional,we will have a picnic in the park if it is sunny,83-picnic-sunny-park,"83-picnic-park-rainy,83-picnic-island-rainy,83-picnic-island-sunny",test_response,0.25,trog-item-83,0.4254710254
Yeatman,TROG,trog-item-84,Touch the picture that shows...,84,prepositional phrase,he found his keys under the couch with the pillows,84-keys-under-couch-pillows,"84-keys-under-couch-no-pillows,84-keys-on-couch,84-keys-on-couch-pillows",test_response,0.25,trog-item-84,7.658442058
Yeatman,TROG,trog-item-85,Touch the picture that shows...,85,dependent clause,she is the gardener who wears the hat that has a flower,85-gardener-flower-hat-on,"85-gardener-hat,85-gardener-flower-hat-off,85-gardener-flower-hat-off2",test_response,0.25,trog-item-85,-1.280546
Yeatman,TROG,trog-item-86,Touch the picture that shows...,86,causal,She tripped on a rock and dropped her books.,86-trip-drop-books,"86-no-trip,86-drop-books,86-trip-rock",test_response,0.25,trog-item-86,NA
Yeatman,TROG,trog-item-87,Touch the picture that shows...,87,conditional,The teacher will give the students cake if they stand in a line.,87-woman-serves-girl-cake,"87-woman-serves-girl-cake-no-line,87-girl-serves-woman-cake,87-girl-serves-woman-cake-no-line",test_response,0.25,trog-item-87,NA
Yeatman,TROG,trog-item-88,Touch the picture that shows...,88,conditional,We will dance together if there is music playing.,88-play-guitar-dance,"88-play-guitars-dance,88-carry-guitar-guy-dances,88-carry-guitar-dance",test_response,0.25,trog-item-88,-1.281514
Yeatman,TROG,trog-item-89,Touch the picture that shows...,89,disjunctive,"Although it is hot outside, I am wearing a jacket with a hood.",89-hoodie-island,"89-hoodie-snow,89-island,89-snow",test_response,0.25,trog-item-89,NA
Yeatman,TROG,trog-item-90,Touch the picture that shows...,90,disjunctive,"He likes swimming, however, he chose to play soccer with his friends.",90-they-play-soccer,"90-they-swim,90-he-swims,90-he-plays-soccer",test_response,0.25,trog-item-90,-2.60902
Yeatman,TROG,trog-item-91,Touch the picture that shows...,91,disjunctive,"Despite the noise in the classroom, she focused on reading her notebook.",91-throws-plane-reads,"91-read-write,91-they-write,91-throws-plane-writes",test_response,0.25,trog-item-91,NA
Yeatman,TROG,trog-item-92,Touch the picture that shows...,92,disjunctive,He wore the clown's hat despite its large size.,92-kid-large-hat,"92-clown-large-hat,92-clown-small-hat,92-kid-small-hat",test_response,0.25,trog-item-92,NA
Yeatman,TROG,trog-item-93,Touch the picture that shows...,93,post modified subject,The duck following the turtle is walking across the bridge.,93-duck-on-bridge,"93-duck-behind-turtle,93-duck-turtle-on-bridge,93-turtle-behind-duck",test_response,0.25,trog-item-93,NA
Yeatman,TROG,trog-item-94,Touch the picture that shows...,94,gerund phrase,Bumping the table with my foot caused a book to fall.,94-stub-toe-book-falls,"94-stub-toe,94-book-falls,94-trip-rock",test_response,0.25,trog-item-94,-2.609019671
Yeatman,TROG,trog-item-95,Touch the picture that shows...,95,,The person chases the dog that is big.,95-boy-chase-large-dog,"95-boy-chase-small-dog,95-large-dog-chase-boy,95-small-dog-chase-boy",test_response,0.25,trog-item-95,NA
Yeatman,TROG,trog-item-96,Touch the picture that shows...,96,,The girl wearing a backpack was shown a flower by her friend.,96-short-girl-wear-backpack,"96-both-girls-hold-backpacks,96-tall-girl-holds-backpack-and-flower,96-tall-girl-holds-flower-wears-backpack",test_response,0.25,trog-item-96,NA
Yeatman,TROG,trog-item-97,Touch the picture that shows...,97,,"The kids cleaned the room, but forgot to put away the train.",97-train-on-rug,"97-empty-rug,97-empty-shelf,97-train-on-shelf",test_response,0.25,trog-item-97,NA
Yeatman,TROG,trog-item-98,Touch the picture that shows...,98,,The monkey neither ate the spotted banana nor swung on the vine.,98-not-eat-not-swing,"98-eat-and-swing,98-eat-not-swing,98-swing-not-eat",test_response,0.25,trog-item-98,NA
Yeatman,TROG,trog-item-99,Touch the picture that shows...,99,,"Her mom said it would be sunny. However, it rained heavily",99-rainy,"99-rainy-sun,99-stormy,99-sunny",test_response,0.25,trog-item-99,NA
Yeatman,TROG,trog-item-100,Touch the picture that shows...,100,,The plane that is gray is above the clouds.,100-gray-plane-over-clouds,"100-gray-plane-under-clouds,100-white-plane-over-clouds,100-white-plane-under-clouds",test_response,0.25,trog-item-100,NA
Yeatman,TROG,trog-item-101,Touch the picture that shows...,101,,The fish swim beneath a whale and a sea turtle.,101-whale-between-fish-turtle,"101-whale-above-fish-turtle,101-whale-behind-fish-turtle,101-whale-below-fish-turtle",test_response,0.25,trog-item-101,NA
Yeatman,TROG,trog-item-102,Touch the picture that shows...,102,,The car that the truck followed is driving toward the tunnel.,102-car-truck-into-tunnel,"102-car-into-tunnel,102-car-out-of-tunnel,102-car-truck-out-of-tunnel",test_response,0.25,trog-item-102,NA
Yeatman,TROG,trog-item-103,Touch the picture that shows...,103,,Instead of doing homework she did a puzzle in her room.,103-puzzle-floor,"103-homework-desk-puzzle,103-homework-desk,103-puzzle-desk",test_response,0.25,trog-item-103,NA
