source,block_index,task,trial_type,audio_file,prompt,orig_item_num,item,time_limit,answer,notes,response_alternatives,item_id,a,g,u,difficulty
2d-rabbit,1,Mental Rotation,2,mental-rotation-prompt1,Choose the matching picture.,14,Rp-200,5000,Rp-000-silh,NA,"Rp-000-silh,Rn-000-silh",rp200,1,0.5,1,2.7673377384614524
2d-rabbit,1,Mental Rotation,2,mental-rotation-prompt1,Choose the matching picture.,16,Rp-240,5000,Rp-000-silh,NA,"Rp-000-silh,Rn-000-silh",rp240,1,0.5,1,1.3491514987043838
2d-rabbit,1,Mental Rotation,2,mental-rotation-prompt1,Choose the matching picture.,15,Rn-200,5000,Rn-000-silh,NA,"Rp-000-silh,Rn-000-silh",rn200,1,0.5,1,3.3224988245369325
2d-rabbit,1,Mental Rotation,2,mental-rotation-prompt1,Choose the matching picture.,17,Rn-240,5000,Rn-000-silh,NA,"Rp-000-silh,Rn-000-silh",rn240,1,0.5,1,1.457061028009445
2d-rabbit,1,Mental Rotation,2,mental-rotation-prompt1,Choose the matching picture.,18,Rp-280,5000,Rp-000-silh,NA,"Rp-000-silh,Rn-000-silh",rp280,1,0.5,1,-0.4311973047064964
2d-rabbit,1,Mental Rotation,2,mental-rotation-prompt1,Choose the matching picture.,20,Rp-320,5000,Rp-000-silh,NA,"Rp-000-silh,Rn-000-silh",rp320,1,0.5,1,0.44120386649094767
2d-rabbit,1,Mental Rotation,2,mental-rotation-prompt1,Choose the matching picture.,19,Rn-280,5000,Rn-000-silh,NA,"Rp-000-silh,Rn-000-silh",rn280,1,0.5,1,0.6533096810262439
2d-rabbit,1,Mental Rotation,2,mental-rotation-prompt1,Choose the matching picture.,21,Rn-320,5000,Rn-000-silh,NA,"Rp-000-silh,Rn-000-silh",rn320,1,0.5,1,-0.5595142096730078
2d-duck,1,Mental Rotation,2,mental-rotation-prompt1,Choose the matching picture.,34,Dp-200,5000,Dp-000-silh,NA,"Dp-000-silh,Dn-000-silh",dp200,1,0.5,1,2.5034786913178193
2d-duck,1,Mental Rotation,2,mental-rotation-prompt1,Choose the matching picture.,26,Dn-040,5000,Dn-000-silh,NA,"Dp-000-silh,Dn-000-silh",dn040,1,0.5,1,-1.0943555733293262
2d-duck,1,Mental Rotation,2,mental-rotation-prompt1,Choose the matching picture.,30,Dp-120,5000,Dp-000-silh,NA,"Dp-000-silh,Dn-000-silh",dp120,1,0.5,1,0.49537343212123175
2d-duck,1,Mental Rotation,2,mental-rotation-prompt1,Choose the matching picture.,29,Dn-080,5000,Dn-000-silh,NA,"Dp-000-silh,Dn-000-silh",dn080,1,0.5,1,0.2319124725310953
2d-duck,1,Mental Rotation,2,mental-rotation-prompt1,Choose the matching picture.,33,Dn-160,5000,Dn-000-silh,NA,"Dp-000-silh,Dn-000-silh",dn160,1,0.5,1,3.010417442108893
2d-duck,1,Mental Rotation,2,mental-rotation-prompt1,Choose the matching picture.,27,Dp-040,5000,Dp-000-silh,NA,"Dp-000-silh,Dn-000-silh",dp040,1,0.5,1,1.0137850310395857
2d-duck,1,Mental Rotation,2,mental-rotation-prompt1,Choose the matching picture.,35,Dn-200,5000,Dn-000-silh,NA,"Dp-000-silh,Dn-000-silh",dn200,1,0.5,1,2.709860344486584
2d-duck,1,Mental Rotation,2,mental-rotation-prompt1,Choose the matching picture.,28,Dp-080,5000,Dp-000-silh,NA,"Dp-000-silh,Dn-000-silh",dp080,1,0.5,1,0.9969168593693405
2d-duck,1,Mental Rotation,2,mental-rotation-prompt1,Choose the matching picture.,30,Dp-120,5000,Dp-000-silh,NA,"Dp-000-silh,Dn-000-silh",dp120,1,0.5,1,0.49537343212123175
2d-duck,1,Mental Rotation,2,mental-rotation-prompt1,Choose the matching picture.,32,Dp-160,5000,Dp-000-silh,NA,"Dp-000-silh,Dn-000-silh",dp160,1,0.5,1,2.6450804005890625
2d-duck,1,Mental Rotation,2,mental-rotation-prompt1,Choose the matching picture.,31,Dn-120,5000,Dn-000-silh,NA,"Dp-000-silh,Dn-000-silh",dn120,1,0.5,1,0.6666919648742786
2d-duck,1,Mental Rotation,2,mental-rotation-prompt1,Choose the matching picture.,34,Dp-200,5000,Dp-000-silh,NA,"Dp-000-silh,Dn-000-silh",dp200,1,0.5,1,2.5034786913178193
2d-duck,1,Mental Rotation,2,mental-rotation-prompt1,Choose the matching picture.,29,Dn-080,5000,Dn-000-silh,NA,"Dp-000-silh,Dn-000-silh",dn080,1,0.5,1,0.2319124725310953
2d-duck,1,Mental Rotation,2,mental-rotation-prompt1,Choose the matching picture.,31,Dn-120,5000,Dn-000-silh,NA,"Dp-000-silh,Dn-000-silh",dn120,1,0.5,1,0.6666919648742786
2d-duck,1,Mental Rotation,2,mental-rotation-prompt1,Choose the matching picture.,32,Dp-160,5000,Dp-000-silh,NA,"Dp-000-silh,Dn-000-silh",dp160,1,0.5,1,2.6450804005890625
2d-duck,1,Mental Rotation,2,mental-rotation-prompt1,Choose the matching picture.,33,Dn-160,5000,Dn-000-silh,NA,"Dp-000-silh,Dn-000-silh",dn160,1,0.5,1,3.010417442108893
2d-duck,1,Mental Rotation,2,mental-rotation-prompt1,Choose the matching picture.,35,Dn-200,5000,Dn-000-silh,NA,"Dp-000-silh,Dn-000-silh",dn200,1,0.5,1,2.709860344486584
2d-duck,1,Mental Rotation,2,mental-rotation-prompt1,Choose the matching picture.,36,Dp-240,5000,Dp-000-silh,NA,"Dp-000-silh,Dn-000-silh",dp240,1,0.5,1,1.610506496058127
2d-duck,1,Mental Rotation,2,mental-rotation-prompt1,Choose the matching picture.,37,Dn-240,5000,Dn-000-silh,NA,"Dp-000-silh,Dn-000-silh",dn240,1,0.5,1,1.4181738881622927
2d-duck,1,Mental Rotation,2,mental-rotation-prompt1,Choose the matching picture.,38,Dp-280,5000,Dp-000-silh,NA,"Dp-000-silh,Dn-000-silh",dp280,1,0.5,1,-7.09861689871302e-4
2d-duck,1,Mental Rotation,2,mental-rotation-prompt1,Choose the matching picture.,39,Dn-280,5000,Dn-000-silh,NA,"Dp-000-silh,Dn-000-silh",dn280,1,0.5,1,0.32706178876713066
2d-duck,1,Mental Rotation,2,mental-rotation-prompt1,Choose the matching picture.,40,Dp-320,5000,Dp-000-silh,NA,"Dp-000-silh,Dn-000-silh",dp320,1,0.5,1,0.4169967517296866
2d-duck,1,Mental Rotation,2,mental-rotation-prompt1,Choose the matching picture.,41,Dn-320,5000,Dn-000-silh,NA,"Dp-000-silh,Dn-000-silh",dn320,1,0.5,1,0.33187785611851794
3D,3,Mental Rotation,3,mental-rotation-prompt1,Choose the matching picture.,78,an1-240,5000,an1-000,NA,"ap1-000,an1-000",an1240,1,0.5,1,4.551854063951549
3D,3,Mental Rotation,3,mental-rotation-prompt1,Choose the matching picture.,79,ap1-280,5000,ap1-000,NA,"ap1-000,an1-000",ap1280,1,0.5,1,4.6650802390341894
3D,3,Mental Rotation,3,mental-rotation-prompt1,Choose the matching picture.,80,ap1-320,5000,ap1-000,NA,"ap1-000,an1-000",ap1320,1,0.5,1,2.6489449778769876
3D,3,Mental Rotation,3,mental-rotation-prompt1,Choose the matching picture.,81,ap2-240,5000,ap2-000,NA,"ap2-000,an2-000",ap2240,1,0.5,1,6.575195471658525
3D,3,Mental Rotation,3,mental-rotation-prompt1,Choose the matching picture.,82,an2-280,5000,an2-000,NA,"ap2-000,an2-000",an2280,1,0.5,1,5.152036601655867
3D,3,Mental Rotation,3,mental-rotation-prompt1,Choose the matching picture.,83,an2-320,5000,an2-000,NA,"ap2-000,an2-000",an2320,1,0.5,1,4.573810111047698
3D,3,Mental Rotation,3,mental-rotation-prompt1,Choose the matching picture.,84,ap6-280,5000,ap6-000,NA,"an6-000,ap6-000",ap6280,1,0.5,1,5.498211021009172
3D,3,Mental Rotation,3,mental-rotation-prompt1,Choose the matching picture.,85,an6-320,5000,an6-000,NA,"an6-000,ap6-000",an6320,1,0.5,1,3.907138254753679
3D,3,Mental Rotation,3,mental-rotation-prompt1,Choose the matching picture.,86,ap10-240,5000,ap10-000,NA,"an10-000,ap10-000",ap10240,1,0.5,1,5.0835810925733265
3D,3,Mental Rotation,3,mental-rotation-prompt1,Choose the matching picture.,87,ap10-320,5000,ap10-000,NA,"an10-000,ap10-000",ap10320,1,0.5,1,4.039703379309915
3D,3,Mental Rotation,3,mental-rotation-prompt1,Choose the matching picture.,88,an11-240,5000,an11-000,NA,"an11-000,ap11-000",an11240,1,0.5,1,7.008367072856261
3D,3,Mental Rotation,3,mental-rotation-prompt1,Choose the matching picture.,89,an11-320,5000,an11-000,NA,"an11-000,ap11-000",an11320,1,0.5,1,4.206304062975247
3D,3,Mental Rotation,3,mental-rotation-prompt1,Choose the matching picture.,90,an13-280,5000,an11-000,NA,"an11-000,ap11-000",an13280,1,0.5,1,23.483288746607887
3D,3,Mental Rotation,3,mental-rotation-prompt1,Choose the matching picture.,91,ap13-240,5000,ap13-000,NA,"an13-000,ap13-000",ap13240,1,0.5,1,5.138278913460645
3D,3,Mental Rotation,3,mental-rotation-prompt1,Choose the matching picture.,92,an17-320,5000,an17-000,NA,"an17-000,ap17-000",an17320,1,0.5,1,4.213370622552045
3D,3,Mental Rotation,3,mental-rotation-prompt1,Choose the matching picture.,93,ap17-240,5000,ap17-000,NA,"an17-000,ap17-000",ap17240,1,0.5,1,5.425436411301696
3D,3,Mental Rotation,3,mental-rotation-prompt1,Choose the matching picture.,94,ap17-280,5000,ap17-000,NA,"an17-000,ap17-000",ap17280,1,0.5,1,4.818307043247716
3D,3,Mental Rotation,3,mental-rotation-prompt1,Choose the matching picture.,95,bn1-280,5000,bn1-000,NA,"bn1-000,bp1-000",bn1280,1,0.5,1,5.043774551996298
3D,3,Mental Rotation,3,mental-rotation-prompt1,Choose the matching picture.,96,bp1-320,5000,bp1-000,NA,"bn1-000,bp1-000",bp1320,1,0.5,1,3.5963691866993632
3D,3,Mental Rotation,3,mental-rotation-prompt1,Choose the matching picture.,97,bn5-240,5000,bn5-000,NA,"bn5-000,bp5-000",bn5240,1,0.5,1,5.325231676352454
3D,3,Mental Rotation,3,mental-rotation-prompt1,Choose the matching picture.,98,bn5-320,5000,bn5-000,NA,"bn5-000,bp5-000",bn5320,1,0.5,1,4.911091618898453
3D,3,Mental Rotation,3,mental-rotation-prompt1,Choose the matching picture.,99,bn6-280,5000,bn6-000,NA,"bn6-000,bp6-000",bn6280,1,0.5,1,4.966424624528923
3D,3,Mental Rotation,3,mental-rotation-prompt1,Choose the matching picture.,100,bp6-240,5000,bp6-000,NA,"bn6-000,bp6-000",bp6240,1,0.5,1,4.921732733787454
3D,3,Mental Rotation,3,mental-rotation-prompt1,Choose the matching picture.,101,bp8-280,5000,bp8-000,NA,"bp8-000,bn8-000",bp8280,1,0.5,1,4.26857681064436
3D,3,Mental Rotation,3,mental-rotation-prompt1,Choose the matching picture.,102,bn8-240,5000,bn8-000,NA,"bp8-000,bn8-000",bn8240,1,0.5,1,5.435066553278276
3D,3,Mental Rotation,3,mental-rotation-prompt1,Choose the matching picture.,103,bn12-240,5000,bn12-000,NA,"bn12-000,bp12-000",bn12240,1,0.5,1,20.65816496160505
3D,3,Mental Rotation,3,mental-rotation-prompt1,Choose the matching picture.,104,bn12-280,5000,bn12-000,NA,"bn12-000,bp12-000",bn12280,1,0.5,1,8.2456198184164
3D,3,Mental Rotation,3,mental-rotation-prompt1,Choose the matching picture.,105,bp12-320,5000,bp12-000,NA,"bn12-000,bp12-000",bp12320,1,0.5,1,5.985152244306789
3D,3,Mental Rotation,3,mental-rotation-prompt1,Choose the matching picture.,106,bp14-240,5000,bp14-000,NA,"bp14-000,bn14-000",bp14240,1,0.5,1,6.133894880947782
3D,3,Mental Rotation,3,mental-rotation-prompt1,Choose the matching picture.,107,bn14-280,5000,bn14-000,NA,"bp14-000,bn14-000",bn14280,1,0.5,1,4.728539104945795
3D,3,Mental Rotation,3,mental-rotation-prompt1,Choose the matching picture.,108,bn14-320,5000,bn14-000,NA,"bp14-000,bn14-000",bn14320,1,0.5,1,5.380188928336425
3D,3,Mental Rotation,3,mental-rotation-prompt1,Choose the matching picture.,109,bn15-240,5000,bn15-000,NA,"bn15-000,bp15-000",bn15240,1,0.5,1,7.853395202784491
3D,3,Mental Rotation,3,mental-rotation-prompt1,Choose the matching picture.,110,bp15-280,5000,bp15-000,NA,"bn15-000,bp15-000",bp15280,1,0.5,1,6.68897629481789
3D,3,Mental Rotation,3,mental-rotation-prompt1,Choose the matching picture.,111,bp15-320,5000,bp15-000,NA,"bn15-000,bp15-000",bp15320,NA,NA,NA,NA
